dataset,rank,case_id,commit_id,bug_type,selection_group,checker_id,case_dir,refinement_input,standard_patch,knighter_patch,checker_source
knighter-full,11,11_5e700b384ec1_Concurrency,5e700b384ec13f5bcac9855cb28fcc674f1d3593,Concurrency,scan_selected,old:5e700b384ec13f5bcac9855cb28fcc674f1d3593:checker0,artifacts/research/knighter/cases/11_5e700b384ec1_Concurrency,artifacts/research/knighter/cases/11_5e700b384ec1_Concurrency/refinement_input.json,artifacts/research/knighter/cases/11_5e700b384ec1_Concurrency/patches/commit.patch,artifacts/research/knighter/cases/11_5e700b384ec1_Concurrency/patches/knighter_patch.md,artifacts/research/knighter/cases/11_5e700b384ec1_Concurrency/csa/SAGenTestChecker.cpp
knighter-full,12,12_c09d2eff81a9_Integer_Overflow,c09d2eff81a997c169e0cacacd6b60c5e3aa33f2,Integer-Overflow,scan_selected,old:c09d2eff81a997c169e0cacacd6b60c5e3aa33f2:checker4,artifacts/research/knighter/cases/12_c09d2eff81a9_Integer_Overflow,artifacts/research/knighter/cases/12_c09d2eff81a9_Integer_Overflow/refinement_input.json,artifacts/research/knighter/cases/12_c09d2eff81a9_Integer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/12_c09d2eff81a9_Integer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/12_c09d2eff81a9_Integer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,13,13_0f8ca019544a_Buffer_Overflow,0f8ca019544a252d1afb468ce840c6dcbac73af4,Buffer-Overflow,scan_selected,old:0f8ca019544a252d1afb468ce840c6dcbac73af4:checker0,artifacts/research/knighter/cases/13_0f8ca019544a_Buffer_Overflow,artifacts/research/knighter/cases/13_0f8ca019544a_Buffer_Overflow/refinement_input.json,artifacts/research/knighter/cases/13_0f8ca019544a_Buffer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/13_0f8ca019544a_Buffer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/13_0f8ca019544a_Buffer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,14,14_c3d749609472_Out_of_Bound,c3d749609472ba0b217b42ab66f80459847e2bcb,Out-of-Bound,scan_selected,old:c3d749609472ba0b217b42ab66f80459847e2bcb:checker1,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound/refinement_input.json,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound/patches/commit.patch,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound/patches/knighter_patch.md,artifacts/research/knighter/cases/14_c3d749609472_Out_of_Bound/csa/SAGenTestChecker.cpp
knighter-full,15,15_f1e54d11b210_UAF,f1e54d11b210b53d418ff1476c6b58a2f434dfc0,UAF,scan_selected,old:f1e54d11b210b53d418ff1476c6b58a2f434dfc0:checker0,artifacts/research/knighter/cases/15_f1e54d11b210_UAF,artifacts/research/knighter/cases/15_f1e54d11b210_UAF/refinement_input.json,artifacts/research/knighter/cases/15_f1e54d11b210_UAF/patches/commit.patch,artifacts/research/knighter/cases/15_f1e54d11b210_UAF/patches/knighter_patch.md,artifacts/research/knighter/cases/15_f1e54d11b210_UAF/csa/SAGenTestChecker.cpp
knighter-full,16,16_b1ba8bcb2d1f_Null_Pointer_Dereference,b1ba8bcb2d1ffce11b308ce166c9cc28d989e3b9,Null-Pointer-Dereference,scan_selected,old:b1ba8bcb2d1ffce11b308ce166c9cc28d989e3b9:checker2,artifacts/research/knighter/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference,artifacts/research/knighter/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/refinement_input.json,artifacts/research/knighter/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/patches/commit.patch,artifacts/research/knighter/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/patches/knighter_patch.md,artifacts/research/knighter/cases/16_b1ba8bcb2d1f_Null_Pointer_Dereference/csa/SAGenTestChecker.cpp
knighter-full,17,17_90ca6956d383_Uninit_Data,90ca6956d3834db4060f87700e2fcbb699c4e4fd,Uninit-Data,scan_selected,old:90ca6956d3834db4060f87700e2fcbb699c4e4fd:checker3,artifacts/research/knighter/cases/17_90ca6956d383_Uninit_Data,artifacts/research/knighter/cases/17_90ca6956d383_Uninit_Data/refinement_input.json,artifacts/research/knighter/cases/17_90ca6956d383_Uninit_Data/patches/commit.patch,artifacts/research/knighter/cases/17_90ca6956d383_Uninit_Data/patches/knighter_patch.md,artifacts/research/knighter/cases/17_90ca6956d383_Uninit_Data/csa/SAGenTestChecker.cpp
knighter-full,18,18_ad297cd2db89_UAF,ad297cd2db8953e2202970e9504cab247b6c7cb4,UAF,scan_selected,old:ad297cd2db8953e2202970e9504cab247b6c7cb4:checker0,artifacts/research/knighter/cases/18_ad297cd2db89_UAF,artifacts/research/knighter/cases/18_ad297cd2db89_UAF/refinement_input.json,artifacts/research/knighter/cases/18_ad297cd2db89_UAF/patches/commit.patch,artifacts/research/knighter/cases/18_ad297cd2db89_UAF/patches/knighter_patch.md,artifacts/research/knighter/cases/18_ad297cd2db89_UAF/csa/SAGenTestChecker.cpp
knighter-full,19,19_39b13dce1a91_Double_Free,39b13dce1a91cdfc3bec9238f9e89094551bd428,Double-Free,scan_selected,old:39b13dce1a91cdfc3bec9238f9e89094551bd428:checker0,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free/refinement_input.json,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/19_39b13dce1a91_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,20,20_d8c561741ef8_Double_Free,d8c561741ef83980114b3f7f95ffac54600f3f16,Double-Free,scan_selected,old:d8c561741ef83980114b3f7f95ffac54600f3f16:checker2,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free/refinement_input.json,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/20_d8c561741ef8_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,21,21_3e91a38de1dc_Misuse,3e91a38de1dce97b385d732a5f444264ea8fbd92,Misuse,scan_selected,old:3e91a38de1dce97b385d732a5f444264ea8fbd92:checker2,artifacts/research/knighter/cases/21_3e91a38de1dc_Misuse,artifacts/research/knighter/cases/21_3e91a38de1dc_Misuse/refinement_input.json,artifacts/research/knighter/cases/21_3e91a38de1dc_Misuse/patches/commit.patch,artifacts/research/knighter/cases/21_3e91a38de1dc_Misuse/patches/knighter_patch.md,artifacts/research/knighter/cases/21_3e91a38de1dc_Misuse/csa/SAGenTestChecker.cpp
knighter-full,22,22_e651faa2fba4_Misuse,e651faa2fba4d387aa00b3c02e9c10232852d2ef,Misuse,scan_selected,old:e651faa2fba4d387aa00b3c02e9c10232852d2ef:checker0,artifacts/research/knighter/cases/22_e651faa2fba4_Misuse,artifacts/research/knighter/cases/22_e651faa2fba4_Misuse/refinement_input.json,artifacts/research/knighter/cases/22_e651faa2fba4_Misuse/patches/commit.patch,artifacts/research/knighter/cases/22_e651faa2fba4_Misuse/patches/knighter_patch.md,artifacts/research/knighter/cases/22_e651faa2fba4_Misuse/csa/SAGenTestChecker.cpp
knighter-full,23,23_13e788deb734_Out_of_Bound,13e788deb7348cc88df34bed736c3b3b9927ea52,Out-of-Bound,scan_selected,old:13e788deb7348cc88df34bed736c3b3b9927ea52:checker0,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound/refinement_input.json,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound/patches/commit.patch,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound/patches/knighter_patch.md,artifacts/research/knighter/cases/23_13e788deb734_Out_of_Bound/csa/SAGenTestChecker.cpp
knighter-full,24,24_97cba232549b_Buffer_Overflow,97cba232549b9fe7e491fb60a69cf93075015f29,Buffer-Overflow,valid_no_local_report,old:97cba232549b9fe7e491fb60a69cf93075015f29:checker6,artifacts/research/knighter/cases/24_97cba232549b_Buffer_Overflow,artifacts/research/knighter/cases/24_97cba232549b_Buffer_Overflow/refinement_input.json,artifacts/research/knighter/cases/24_97cba232549b_Buffer_Overflow/patches/commit.patch,artifacts/research/knighter/cases/24_97cba232549b_Buffer_Overflow/patches/knighter_patch.md,artifacts/research/knighter/cases/24_97cba232549b_Buffer_Overflow/csa/SAGenTestChecker.cpp
knighter-full,25,25_78ec6f9df664_Concurrency,78ec6f9df6642418411c534683da6133e0962ec7,Concurrency,valid_no_local_report,old:78ec6f9df6642418411c534683da6133e0962ec7:checker0,artifacts/research/knighter/cases/25_78ec6f9df664_Concurrency,artifacts/research/knighter/cases/25_78ec6f9df664_Concurrency/refinement_input.json,artifacts/research/knighter/cases/25_78ec6f9df664_Concurrency/patches/commit.patch,artifacts/research/knighter/cases/25_78ec6f9df664_Concurrency/patches/knighter_patch.md,artifacts/research/knighter/cases/25_78ec6f9df664_Concurrency/csa/SAGenTestChecker.cpp
knighter-full,26,26_8bc35475ef1a_Concurrency,8bc35475ef1a23b0e224f3242eb11c76cab0ea88,Concurrency,valid_no_local_report,old:8bc35475ef1a23b0e224f3242eb11c76cab0ea88:checker4,artifacts/research/knighter/cases/26_8bc35475ef1a_Concurrency,artifacts/research/knighter/cases/26_8bc35475ef1a_Concurrency/refinement_input.json,artifacts/research/knighter/cases/26_8bc35475ef1a_Concurrency/patches/commit.patch,artifacts/research/knighter/cases/26_8bc35475ef1a_Concurrency/patches/knighter_patch.md,artifacts/research/knighter/cases/26_8bc35475ef1a_Concurrency/csa/SAGenTestChecker.cpp
knighter-full,27,27_19ebc1e6cab3_Double_Free,19ebc1e6cab334a8193398d4152deb76019b5d34,Double-Free,valid_no_local_report,old:19ebc1e6cab334a8193398d4152deb76019b5d34:checker1,artifacts/research/knighter/cases/27_19ebc1e6cab3_Double_Free,artifacts/research/knighter/cases/27_19ebc1e6cab3_Double_Free/refinement_input.json,artifacts/research/knighter/cases/27_19ebc1e6cab3_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/27_19ebc1e6cab3_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/27_19ebc1e6cab3_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,28,28_4575962aeed6_Double_Free,4575962aeed63aca975756852ab0c550164f849f,Double-Free,valid_no_local_report,old:4575962aeed63aca975756852ab0c550164f849f:checker0,artifacts/research/knighter/cases/28_4575962aeed6_Double_Free,artifacts/research/knighter/cases/28_4575962aeed6_Double_Free/refinement_input.json,artifacts/research/knighter/cases/28_4575962aeed6_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/28_4575962aeed6_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/28_4575962aeed6_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,29,29_e61dd678601e_Double_Free,e61dd678601eac53d501dda1eb1bcffec7b11bd6,Double-Free,valid_no_local_report,old:e61dd678601eac53d501dda1eb1bcffec7b11bd6:checker0,artifacts/research/knighter/cases/29_e61dd678601e_Double_Free,artifacts/research/knighter/cases/29_e61dd678601e_Double_Free/refinement_input.json,artifacts/research/knighter/cases/29_e61dd678601e_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/29_e61dd678601e_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/29_e61dd678601e_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,30,30_e8c276d4dc0e_Double_Free,e8c276d4dc0e19ee48385f74426aebc855b49aaf,Double-Free,valid_no_local_report,old:e8c276d4dc0e19ee48385f74426aebc855b49aaf:checker0,artifacts/research/knighter/cases/30_e8c276d4dc0e_Double_Free,artifacts/research/knighter/cases/30_e8c276d4dc0e_Double_Free/refinement_input.json,artifacts/research/knighter/cases/30_e8c276d4dc0e_Double_Free/patches/commit.patch,artifacts/research/knighter/cases/30_e8c276d4dc0e_Double_Free/patches/knighter_patch.md,artifacts/research/knighter/cases/30_e8c276d4dc0e_Double_Free/csa/SAGenTestChecker.cpp
knighter-full,31,31_27834971f616_Memory_Leak,27834971f616c5e154423c578fa95e0444444ce1,Memory-Leak,valid_no_local_report,old:27834971f616c5e154423c578fa95e0444444ce1:checker0,artifacts/research/knighter/cases/31_27834971f616_Memory_Leak,artifacts/research/knighter/cases/31_27834971f616_Memory_Leak/refinement_input.json,artifacts/research/knighter/cases/31_27834971f616_Memory_Leak/patches/commit.patch,artifacts/research/knighter/cases/31_27834971f616_Memory_Leak/patches/knighter_patch.md,artifacts/research/knighter/cases/31_27834971f616_Memory_Leak/csa/SAGenTestChecker.cpp
knighter-full,32,32_4050957c7c2c_Memory_Leak,4050957c7c2c14aa795dbf423b4180d5ac04e113,Memory-Leak,valid_no_local_report,old:4050957c7c2c14aa795dbf423b4180d5ac04e113:checker4,artifacts/research/knighter/cases/32_4050957c7c2c_Memory_Leak,artifacts/research/knighter/cases/32_4050957c7c2c_Memory_Leak/refinement_input.json,artifacts/research/knighter/cases/32_4050957c7c2c_Memory_Leak/patches/commit.patch,artifacts/research/knighter/cases/32_4050957c7c2c_Memory_Leak/patches/knighter_patch.md,artifacts/research/knighter/cases/32_4050957c7c2c_Memory_Leak/csa/SAGenTestChecker.cpp
knighter-full,33,33_ca93bf607a44_Memory_Leak,ca93bf607a44c1f009283dac4af7df0d9ae5e357,Memory-Leak,valid_no_local_report,old:ca93bf607a44c1f009283dac4af7df0d9ae5e357:checker0,artifacts/research/knighter/cases/33_ca93bf607a44_Memory_Leak,artifacts/research/knighter/cases/33_ca93bf607a44_Memory_Leak/refinement_input.json,artifacts/research/knighter/cases/33_ca93bf607a44_Memory_Leak/patches/commit.patch,artifacts/research/knighter/cases/33_ca93bf607a44_Memory_Leak/patches/knighter_patch.md,artifacts/research/knighter/cases/33_ca93bf607a44_Memory_Leak/csa/SAGenTestChecker.cpp
knighter-full,34,34_61c43780e944_Misuse,61c43780e9444123410cd48c2483e01d2b8f75e8,Misuse,valid_no_local_report,old:61c43780e9444123410cd48c2483e01d2b8f75e8:checker0,artifacts/research/knighter/cases/34_61c43780e944_Misuse,artifacts/research/knighter/cases/34_61c43780e944_Misuse/refinement_input.json,artifacts/research/knighter/cases/34_61c43780e944_Misuse/patches/commit.patch,artifacts/research/knighter/cases/34_61c43780e944_Misuse/patches/knighter_patch.md,artifacts/research/knighter/cases/34_61c43780e944_Misuse/csa/SAGenTestChecker.cpp
knighter-full,35,35_279c3a2a5eb2_Out_of_Bound,279c3a2a5eb2c1054fbe38e5c33be08584229047,Out-of-Bound,valid_no_local_report,old:279c3a2a5eb2c1054fbe38e5c33be08584229047:checker0,artifacts/research/knighter/cases/35_279c3a2a5eb2_Out_of_Bound,artifacts/research/knighter/cases/35_279c3a2a5eb2_Out_of_Bound/refinement_input.json,artifacts/research/knighter/cases/35_279c3a2a5eb2_Out_of_Bound/patches/commit.patch,artifacts/research/knighter/cases/35_279c3a2a5eb2_Out_of_Bound/patches/knighter_patch.md,artifacts/research/knighter/cases/35_279c3a2a5eb2_Out_of_Bound/csa/SAGenTestChecker.cpp
knighter-full,36,36_3f7d9c1964fc_Out_of_Bound,3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530,Out-of-Bound,valid_no_local_report,old:3f7d9c1964fcd16d02a8a9d4fd6f6cb60c4cc530:checker1,artifacts/research/knighter/cases/36_3f7d9c1964fc_Out_of_Bound,artifacts/research/knighter/cases/36_3f7d9c1964fc_Out_of_Bound/refinement_input.json,artifacts/research/knighter/cases/36_3f7d9c1964fc_Out_of_Bound/patches/commit.patch,artifacts/research/knighter/cases/36_3f7d9c1964fc_Out_of_Bound/patches/knighter_patch.md,artifacts/research/knighter/cases/36_3f7d9c1964fc_Out_of_Bound/csa/SAGenTestChecker.cpp
knighter-full,37,37_0336f8ffece6_UAF,0336f8ffece62f882ab3012820965a786a983f70,UAF,valid_no_local_report,old:0336f8ffece62f882ab3012820965a786a983f70:checker0,artifacts/research/knighter/cases/37_0336f8ffece6_UAF,artifacts/research/knighter/cases/37_0336f8ffece6_UAF/refinement_input.json,artifacts/research/knighter/cases/37_0336f8ffece6_UAF/patches/commit.patch,artifacts/research/knighter/cases/37_0336f8ffece6_UAF/patches/knighter_patch.md,artifacts/research/knighter/cases/37_0336f8ffece6_UAF/csa/SAGenTestChecker.cpp
knighter-full,38,38_3948abaa4e2b_Uninit_Data,3948abaa4e2be938ccdfc289385a27342fb13d43,Uninit-Data,valid_no_local_report,old:3948abaa4e2be938ccdfc289385a27342fb13d43:checker0,artifacts/research/knighter/cases/38_3948abaa4e2b_Uninit_Data,artifacts/research/knighter/cases/38_3948abaa4e2b_Uninit_Data/refinement_input.json,artifacts/research/knighter/cases/38_3948abaa4e2b_Uninit_Data/patches/commit.patch,artifacts/research/knighter/cases/38_3948abaa4e2b_Uninit_Data/patches/knighter_patch.md,artifacts/research/knighter/cases/38_3948abaa4e2b_Uninit_Data/csa/SAGenTestChecker.cpp
knighter-full,39,39_eaa03486d932_Uninit_Data,eaa03486d932572dfd1c5f64f9dfebe572ad88c0,Uninit-Data,valid_no_local_report,old:eaa03486d932572dfd1c5f64f9dfebe572ad88c0:checker4,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data/refinement_input.json,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data/patches/commit.patch,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data/patches/knighter_patch.md,artifacts/research/knighter/cases/39_eaa03486d932_Uninit_Data/csa/SAGenTestChecker.cpp
